Instancia;Vecino m치s cercano;Clarke and Wright;Vecino m치s cercano + swap;Vecino m치s cercano + relocate;Clarke and Wright + swap;Clarke and Wright + relocate; Vecino m치s cercano + swap + relocate
E016-03m;27;104;28;24;133;102;32
E016-05m;30;158;35;30;108;113;38
E021-04m;49;241;46;45;270;225;54
E021-06m;44;206;49;46;223;210;53
E022-04g;53;361;61;55;410;367;54
E022-06m;50;244;55;50;254;269;59
E023-03g;42;273;52;48;281;283;65
E023-05S;42;255;52;67;298;278;70
E026-08m;66;389;77;83;418;398;82
E030-03g;65;606;81;73;624;612;96
E030-04S;67;658;84;74;628;609;97
E031-09h;103;706;115;93;774;798;118
E033-03N;78;783;92;92;906;915;146
E033-04g;78;868;96;89;859;871;114
E033-05s;83;844;94;89;884;988;114
E036-11h;118;1207;144;122;1220;1229;184
E041-14h;168;1884;220;179;1961;1889;206
E045-04f;136;2605;185;198;2720;2497;217
E048-04y;153;2937;248;161;3485;3116;255
E051-05e;176;3895;316;220;4202;4068;249
E072-04f;318;15240;387;438;15593;14859;445
E076-07s;394;18651;561;439;18412;17884;571
E076-07u;402;18617;521;438;17850;17665;621
E076-08s;381;18815;529;456;19455;17309;571
E076-08u;448;17994;545;453;18790;18864;610
E076-10e;395;18115;524;442;18024;18246;583
E076-14s;419;18559;580;524;18359;17694;822
E076-14u;419;18325;598;467;17480;17321;664
E076-15s;441;18401;579;468;17627;17374;589
E076A10r;427;18929;612;509;17924;17141;601
E076B09r;382;18164;520;446;18566;18900;615
E076C09r;440;18096;501;447;18284;17898;616
E076D09r;403;19030;483;462;17616;19418;530
E101-08e;805;55306;930;779;55182;52086;834
E101-10c;644;54897;1133;833;52326;50569;951
E101-14s;738;56641;1206;854;52444;51607;915
E101-14u;658;53314;1226;736;54415;51837;907
E101A11r;693;52495;806;724;50907;49766;882
E101B11r;652;53546;839;747;52748;50551;1703
E101C11r;707;53513;807;754;55799;54211;928
E101D11r;744;55694;830;779;52629;50643;883
E121-07c;898;107961;1128;991;105014;104604;1232
E135-07f;1126;163516;1452;1327;161083;159781;1517
E151-12b;1612;259077;1892;1948;256609;260926;1960
E151-12c;1544;263199;1936;1622;261964;258597;2005
E151A15r;1539;245917;1741;1530;245916;246780;1821
E151B14r;1559;254556;1743;1570;255496;254439;1834
E151C14r;1487;258327;1816;1557;252586;260218;2012
E151D14r;1691;256209;1774;1548;247850;242176;1870
E200-16b;3012;797764;3228;2571;793289;795144;3402
E200-16c;2755;804144;3280;2587;791834;802237;3396
E200-17b;2777;798291;3260;2686;802390;814155;3611
E200-17c;2951;804346;3273;2659;793976;808708;3512
